PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Both,PatternB,1,1.685,9
1,Both,PatternB,2,1.740,9
1,Both,PatternB,3,2.766,9
1,Both,PatternB,4,1.908,9
1,Both,PatternB,5,1.796,9
1,Both,PatternB,6,1.504,9
1,Both,PatternB,7,2.409,9
1,Both,PatternB,8,1.518,9
1,Both,PatternB,9,2.032,9
1,Both,PatternB,10,1.684,9
1,Both,PatternB,11,1.977,9
1,Both,PatternB,12,2.756,9
1,Both,PatternB,13,2.172,9
1,Both,PatternB,14,1.114,9
1,Both,PatternB,15,1.280,9
2,Sound,PatternC,1,1.838,8
2,Sound,PatternC,2,2.293,8
2,Sound,PatternC,3,1.880,8
2,Sound,PatternC,4,1.434,8
2,Sound,PatternC,5,2.019,8
2,Sound,PatternC,6,1.671,8
2,Sound,PatternC,7,2.116,8
2,Sound,PatternC,8,1.740,8
2,Sound,PatternC,9,2.046,8
2,Sound,PatternC,10,1.796,8
2,Sound,PatternC,11,1.824,8
2,Sound,PatternC,12,1.016,8
2,Sound,PatternC,13,1.949,8
2,Sound,PatternC,14,1.754,8
2,Sound,PatternC,15,1.253,8
3,None,PatternA,1,2.868,1
3,None,PatternA,2,0.599,1
3,None,PatternA,3,1.169,1
3,None,PatternA,4,1.768,1
3,None,PatternA,5,1.226,1
3,None,PatternA,6,1.782,1
3,None,PatternA,7,1.072,1
3,None,PatternA,8,2.311,1
3,None,PatternA,9,1.573,1
3,None,PatternA,10,1.225,1
3,None,PatternA,11,1.336,1
3,None,PatternA,12,1.211,1
3,None,PatternA,13,0.975,1
3,None,PatternA,14,1.698,1
3,None,PatternA,15,1.364,1
4,Haptics,PatternD,1,2.144,9
4,Haptics,PatternD,2,2.409,9
4,Haptics,PatternD,3,1.239,9
4,Haptics,PatternD,4,1.921,9
4,Haptics,PatternD,5,2.032,9
4,Haptics,PatternD,6,2.168,9
4,Haptics,PatternD,7,1.991,9
4,Haptics,PatternD,8,2.840,9
4,Haptics,PatternD,9,1.713,9
4,Haptics,PatternD,10,1.921,9
4,Haptics,PatternD,11,1.657,9
4,Haptics,PatternD,12,1.959,9
4,Haptics,PatternD,13,1.949,9
4,Haptics,PatternD,14,2.019,9
4,Haptics,PatternD,15,1.810,9
