PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,None,PatternC,1,6.794,1
1,None,PatternC,2,3.690,1
1,None,PatternC,3,1.447,1
1,None,PatternC,4,1.072,1
1,None,PatternC,5,1.958,1
1,None,PatternC,6,4.829,1
1,None,PatternC,7,1.253,1
1,None,PatternC,8,3.536,1
1,None,PatternC,9,1.253,1
1,None,PatternC,10,1.614,1
1,None,PatternC,11,2.158,1
1,None,PatternC,12,2.172,1
1,None,PatternC,13,1.416,1
1,None,PatternC,14,1.671,1
1,None,PatternC,15,1.323,1
2,Both,PatternD,1,2.404,9
2,Both,PatternD,2,0.975,9
2,Both,PatternD,3,1.740,9
2,Both,PatternD,4,1.810,9
2,Both,PatternD,5,2.158,9
2,Both,PatternD,6,1.295,9
2,Both,PatternD,7,2.102,9
2,Both,PatternD,8,1.350,9
2,Both,PatternD,9,2.186,9
2,Both,PatternD,10,2.325,9
2,Both,PatternD,11,2.395,9
2,Both,PatternD,12,2.181,9
2,Both,PatternD,13,1.364,9
2,Both,PatternD,14,2.446,9
2,Both,PatternD,15,1.350,9
3,Haptics,PatternA,1,2.478,8
3,Haptics,PatternA,2,2.009,8
3,Haptics,PatternA,3,2.506,8
3,Haptics,PatternA,4,1.253,8
3,Haptics,PatternA,5,2.228,8
3,Haptics,PatternA,6,1.448,8
3,Haptics,PatternA,7,2.937,8
3,Haptics,PatternA,8,1.364,8
3,Haptics,PatternA,9,1.225,8
3,Haptics,PatternA,10,0.891,8
3,Haptics,PatternA,11,2.325,8
3,Haptics,PatternA,12,2.241,8
3,Haptics,PatternA,13,2.645,8
3,Haptics,PatternA,14,1.392,8
3,Haptics,PatternA,15,2.432,8
4,Sound,PatternB,1,1.782,8
4,Sound,PatternB,2,2.102,8
4,Sound,PatternB,3,2.435,8
4,Sound,PatternB,4,1.615,8
4,Sound,PatternB,5,1.893,8
4,Sound,PatternB,6,2.061,8
4,Sound,PatternB,7,2.450,8
4,Sound,PatternB,8,1.865,8
4,Sound,PatternB,9,2.392,8
4,Sound,PatternB,10,2.186,8
4,Sound,PatternB,11,2.451,8
4,Sound,PatternB,12,1.824,8
4,Sound,PatternB,13,2.326,8
4,Sound,PatternB,14,2.506,8
4,Sound,PatternB,15,1.921,8
