PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Haptics,PatternB,1,8.521,10
1,Haptics,PatternB,2,2.297,10
1,Haptics,PatternB,3,3.007,10
1,Haptics,PatternB,4,2.464,10
1,Haptics,PatternB,5,3.355,10
1,Haptics,PatternB,6,1.977,10
1,Haptics,PatternB,7,1.977,10
1,Haptics,PatternB,8,2.645,10
1,Haptics,PatternB,9,3.161,10
1,Haptics,PatternB,10,2.019,10
1,Haptics,PatternB,11,1.684,10
1,Haptics,PatternB,12,2.408,10
1,Haptics,PatternB,13,2.743,10
1,Haptics,PatternB,14,2.033,10
1,Haptics,PatternB,15,2.756,10
2,Both,PatternA,1,4.163,10
2,Both,PatternA,2,2.784,10
2,Both,PatternA,3,2.882,10
2,Both,PatternA,4,1.183,10
2,Both,PatternA,5,2.268,10
2,Both,PatternA,6,1.517,10
2,Both,PatternA,7,2.423,10
2,Both,PatternA,8,1.378,10
2,Both,PatternA,9,1.559,10
2,Both,PatternA,10,0.807,10
2,Both,PatternA,11,2.283,10
2,Both,PatternA,12,2.172,10
2,Both,PatternA,13,2.548,10
2,Both,PatternA,14,1.392,10
2,Both,PatternA,15,1.866,10
3,Sound,PatternD,1,6.906,10
3,Sound,PatternD,2,1.713,10
3,Sound,PatternD,3,2.576,10
3,Sound,PatternD,4,2.757,10
3,Sound,PatternD,5,3.286,10
3,Sound,PatternD,6,1.615,10
3,Sound,PatternD,7,2.993,10
3,Sound,PatternD,8,1.908,10
3,Sound,PatternD,9,2.437,10
3,Sound,PatternD,10,2.339,10
3,Sound,PatternD,11,4.135,10
3,Sound,PatternD,12,3.243,10
3,Sound,PatternD,13,3.133,10
3,Sound,PatternD,14,3.606,10
3,Sound,PatternD,15,4.929,10
4,None,PatternC,1,8.841,10
4,None,PatternC,2,1.977,10
4,None,PatternC,3,1.722,10
4,None,PatternC,4,2.455,10
4,None,PatternC,5,1.754,10
4,None,PatternC,6,1.823,10
4,None,PatternC,7,1.851,10
4,None,PatternC,8,2.283,10
4,None,PatternC,9,1.782,10
4,None,PatternC,10,1.114,10
4,None,PatternC,11,1.267,10
4,None,PatternC,12,0.891,10
4,None,PatternC,13,1.713,10
4,None,PatternC,14,2.896,10
4,None,PatternC,15,2.715,10
