PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Sound,PatternA,1,2.353,7
1,Sound,PatternA,2,1.503,7
1,Sound,PatternA,3,1.197,7
1,Sound,PatternA,4,2.033,7
1,Sound,PatternA,5,1.058,7
1,Sound,PatternA,6,0.988,7
1,Sound,PatternA,7,1.267,7
1,Sound,PatternA,8,1.490,7
1,Sound,PatternA,9,1.685,7
1,Sound,PatternA,10,2.061,7
1,Sound,PatternA,11,0.752,7
1,Sound,PatternA,12,1.155,7
1,Sound,PatternA,13,3.091,7
1,Sound,PatternA,14,1.295,7
1,Sound,PatternA,15,1.253,7
2,None,PatternC,1,2.130,2
2,None,PatternC,2,1.295,2
2,None,PatternC,3,0.821,2
2,None,PatternC,4,2.840,2
2,None,PatternC,5,2.813,2
2,None,PatternC,6,1.643,2
2,None,PatternC,7,1.295,2
2,None,PatternC,8,1.337,2
2,None,PatternC,9,1.044,2
2,None,PatternC,10,1.573,2
2,None,PatternC,11,1.364,2
2,None,PatternC,12,1.365,2
2,None,PatternC,13,1.963,2
2,None,PatternC,14,1.462,2
2,None,PatternC,15,2.450,2
3,Both,PatternD,1,3.105,8
3,Both,PatternD,2,2.158,8
3,Both,PatternD,3,1.503,8
3,Both,PatternD,4,1.573,8
3,Both,PatternD,5,2.634,8
3,Both,PatternD,6,1.740,8
3,Both,PatternD,7,2.840,8
3,Both,PatternD,8,3.202,8
3,Both,PatternD,9,0.863,8
3,Both,PatternD,10,0.821,8
3,Both,PatternD,11,0.780,8
3,Both,PatternD,12,0.780,8
3,Both,PatternD,13,0.877,8
3,Both,PatternD,14,0.933,8
3,Both,PatternD,15,0.835,8
4,Haptics,PatternB,1,2.311,5
4,Haptics,PatternB,2,0.612,5
4,Haptics,PatternB,3,1.309,5
4,Haptics,PatternB,4,1.796,5
4,Haptics,PatternB,5,2.256,5
4,Haptics,PatternB,6,0.849,5
4,Haptics,PatternB,7,0.960,5
4,Haptics,PatternB,8,2.255,5
4,Haptics,PatternB,9,2.548,5
4,Haptics,PatternB,10,1.448,5
4,Haptics,PatternB,11,1.949,5
4,Haptics,PatternB,12,0.724,5
4,Haptics,PatternB,13,0.626,5
4,Haptics,PatternB,14,3.648,5
4,Haptics,PatternB,15,2.380,5
