PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Sound,PatternB,1,2.242,9
1,Sound,PatternB,2,2.464,9
1,Sound,PatternB,3,4.845,9
1,Sound,PatternB,4,1.916,9
1,Sound,PatternB,5,2.608,9
1,Sound,PatternB,6,2.339,9
1,Sound,PatternB,7,2.423,9
1,Sound,PatternB,8,2.464,9
1,Sound,PatternB,9,3.063,9
1,Sound,PatternB,10,1.713,9
1,Sound,PatternB,11,1.768,9
1,Sound,PatternB,12,1.754,9
1,Sound,PatternB,13,2.784,9
1,Sound,PatternB,14,1.643,9
1,Sound,PatternB,15,1.865,9
2,Haptics,PatternD,1,2.799,8
2,Haptics,PatternD,2,1.378,8
2,Haptics,PatternD,3,1.601,8
2,Haptics,PatternD,4,1.545,8
2,Haptics,PatternD,5,1.615,8
2,Haptics,PatternD,6,1.267,8
2,Haptics,PatternD,7,2.450,8
2,Haptics,PatternD,8,1.364,8
2,Haptics,PatternD,9,1.851,8
2,Haptics,PatternD,10,2.325,8
2,Haptics,PatternD,11,2.367,8
2,Haptics,PatternD,12,2.144,8
2,Haptics,PatternD,13,2.102,8
2,Haptics,PatternD,14,2.298,8
2,Haptics,PatternD,15,2.598,8
3,Both,PatternA,1,2.827,6
3,Both,PatternA,2,3.842,6
3,Both,PatternA,3,2.826,6
3,Both,PatternA,4,1.489,6
3,Both,PatternA,5,2.798,6
3,Both,PatternA,6,2.459,6
3,Both,PatternA,7,2.701,6
3,Both,PatternA,8,1.197,6
3,Both,PatternA,9,1.640,6
3,Both,PatternA,10,0.752,6
3,Both,PatternA,11,2.047,6
3,Both,PatternA,12,2.019,6
3,Both,PatternA,13,2.335,6
3,Both,PatternA,14,1.657,6
3,Both,PatternA,15,2.757,6
4,None,PatternC,1,3.745,1
4,None,PatternC,2,0.821,1
4,None,PatternC,3,2.338,1
4,None,PatternC,4,0.835,1
4,None,PatternC,5,1.879,1
4,None,PatternC,6,3.132,1
4,None,PatternC,7,1.907,1
4,None,PatternC,8,3.383,1
4,None,PatternC,9,2.311,1
4,None,PatternC,10,3.870,1
4,None,PatternC,11,1.726,1
4,None,PatternC,12,1.601,1
4,None,PatternC,13,2.617,1
4,None,PatternC,14,2.618,1
4,None,PatternC,15,1.838,1
