PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Both,PatternC,1,1.560,10
1,Both,PatternC,2,1.434,10
1,Both,PatternC,3,2.018,10
1,Both,PatternC,4,1.337,10
1,Both,PatternC,5,1.977,10
1,Both,PatternC,6,1.309,10
1,Both,PatternC,7,2.018,10
1,Both,PatternC,8,1.894,10
1,Both,PatternC,9,1.726,10
1,Both,PatternC,10,1.378,10
1,Both,PatternC,11,1.643,10
1,Both,PatternC,12,1.211,10
1,Both,PatternC,13,1.782,10
1,Both,PatternC,14,1.420,10
1,Both,PatternC,15,1.907,10
2,Haptics,PatternD,1,2.367,10
2,Haptics,PatternD,2,2.381,10
2,Haptics,PatternD,3,2.004,10
2,Haptics,PatternD,4,1.142,10
2,Haptics,PatternD,5,1.684,10
2,Haptics,PatternD,6,1.503,10
2,Haptics,PatternD,7,2.520,10
2,Haptics,PatternD,8,1.768,10
2,Haptics,PatternD,9,1.977,10
2,Haptics,PatternD,10,1.838,10
2,Haptics,PatternD,11,1.712,10
2,Haptics,PatternD,12,2.158,10
2,Haptics,PatternD,13,2.367,10
2,Haptics,PatternD,14,2.464,10
2,Haptics,PatternD,15,2.130,10
3,Sound,PatternA,1,2.158,8
3,Sound,PatternA,2,1.810,8
3,Sound,PatternA,3,2.311,8
3,Sound,PatternA,4,1.392,8
3,Sound,PatternA,5,1.796,8
3,Sound,PatternA,6,1.879,8
3,Sound,PatternA,7,2.033,8
3,Sound,PatternA,8,2.144,8
3,Sound,PatternA,9,0.891,8
3,Sound,PatternA,10,0.780,8
3,Sound,PatternA,11,2.283,8
3,Sound,PatternA,12,1.921,8
3,Sound,PatternA,13,2.116,8
3,Sound,PatternA,14,1.670,8
3,Sound,PatternA,15,2.116,8
4,None,PatternB,1,3.203,1
4,None,PatternB,2,1.531,1
4,None,PatternB,3,1.824,1
4,None,PatternB,4,1.866,1
4,None,PatternB,5,2.005,1
4,None,PatternB,6,1.030,1
4,None,PatternB,7,1.462,1
4,None,PatternB,8,1.462,1
4,None,PatternB,9,0.724,1
4,None,PatternB,10,0.752,1
4,None,PatternB,11,2.743,1
4,None,PatternB,12,0.752,1
4,None,PatternB,13,1.309,1
4,None,PatternB,14,3.286,1
4,None,PatternB,15,0.946,1
