PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Both,PatternA,1,2.660,9
1,Both,PatternA,2,2.436,9
1,Both,PatternA,3,2.589,9
1,Both,PatternA,4,1.462,9
1,Both,PatternA,5,2.395,9
1,Both,PatternA,6,1.545,9
1,Both,PatternA,7,2.631,9
1,Both,PatternA,8,1.726,9
1,Both,PatternA,9,1.712,9
1,Both,PatternA,10,1.086,9
1,Both,PatternA,11,2.520,9
1,Both,PatternA,12,2.408,9
1,Both,PatternA,13,2.576,9
1,Both,PatternA,14,1.392,9
1,Both,PatternA,15,2.297,9
2,Haptics,PatternC,1,2.729,9
2,Haptics,PatternC,2,1.629,9
2,Haptics,PatternC,3,2.395,9
2,Haptics,PatternC,4,2.478,9
2,Haptics,PatternC,5,1.991,9
2,Haptics,PatternC,6,1.559,9
2,Haptics,PatternC,7,2.589,9
2,Haptics,PatternC,8,1.546,9
2,Haptics,PatternC,9,2.381,9
2,Haptics,PatternC,10,2.436,9
2,Haptics,PatternC,11,2.228,9
2,Haptics,PatternC,12,1.768,9
2,Haptics,PatternC,13,2.130,9
2,Haptics,PatternC,14,1.406,9
2,Haptics,PatternC,15,2.075,9
3,Sound,PatternD,1,3.787,6
3,Sound,PatternD,2,1.601,6
3,Sound,PatternD,3,2.506,6
3,Sound,PatternD,4,1.949,6
3,Sound,PatternD,5,2.046,6
3,Sound,PatternD,6,1.476,6
3,Sound,PatternD,7,3.077,6
3,Sound,PatternD,8,2.060,6
3,Sound,PatternD,9,2.896,6
3,Sound,PatternD,10,2.979,6
3,Sound,PatternD,11,2.116,6
3,Sound,PatternD,12,2.409,6
3,Sound,PatternD,13,2.547,6
3,Sound,PatternD,14,2.548,6
3,Sound,PatternD,15,2.506,6
4,None,PatternB,1,8.771,3
4,None,PatternB,2,1.016,3
4,None,PatternB,3,2.200,3
4,None,PatternB,4,2.589,3
4,None,PatternB,5,2.297,3
4,None,PatternB,6,1.086,3
4,None,PatternB,7,1.559,3
4,None,PatternB,8,2.506,3
4,None,PatternB,9,1.211,3
4,None,PatternB,10,1.810,3
4,None,PatternB,11,1.058,3
4,None,PatternB,12,1.796,3
4,None,PatternB,13,1.698,3
4,None,PatternB,14,1.893,3
4,None,PatternB,15,0.779,3
