PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,None,PatternB,1,2.646,5
1,None,PatternB,2,2.422,5
1,None,PatternB,3,1.949,5
1,None,PatternB,4,1.601,5
1,None,PatternB,5,1.490,5
1,None,PatternB,6,2.395,5
1,None,PatternB,7,2.534,5
1,None,PatternB,8,1.128,5
1,None,PatternB,9,1.921,5
1,None,PatternB,10,1.058,5
1,None,PatternB,11,3.272,5
1,None,PatternB,12,3.397,5
1,None,PatternB,13,1.907,5
1,None,PatternB,14,1.879,5
1,None,PatternB,15,1.197,5
2,Sound,PatternD,1,3.551,7
2,Sound,PatternD,2,1.670,7
2,Sound,PatternD,3,1.726,7
2,Sound,PatternD,4,1.462,7
2,Sound,PatternD,5,1.768,7
2,Sound,PatternD,6,2.283,7
2,Sound,PatternD,7,1.629,7
2,Sound,PatternD,8,1.935,7
2,Sound,PatternD,9,4.121,7
2,Sound,PatternD,10,2.478,7
2,Sound,PatternD,11,1.768,7
2,Sound,PatternD,12,1.740,7
2,Sound,PatternD,13,2.227,7
2,Sound,PatternD,14,1.657,7
2,Sound,PatternD,15,1.963,7
3,Haptics,PatternC,1,1.922,9
3,Haptics,PatternC,2,0.863,9
3,Haptics,PatternC,3,1.712,9
3,Haptics,PatternC,4,1.852,9
3,Haptics,PatternC,5,3.787,9
3,Haptics,PatternC,6,3.146,9
3,Haptics,PatternC,7,2.297,9
3,Haptics,PatternC,8,1.824,9
3,Haptics,PatternC,9,1.670,9
3,Haptics,PatternC,10,2.353,9
3,Haptics,PatternC,11,2.214,9
3,Haptics,PatternC,12,1.517,9
3,Haptics,PatternC,13,1.197,9
3,Haptics,PatternC,14,0.849,9
3,Haptics,PatternC,15,1.323,9
4,Both,PatternA,1,2.381,8
4,Both,PatternA,2,2.269,8
4,Both,PatternA,3,1.796,8
4,Both,PatternA,4,1.810,8
4,Both,PatternA,5,1.601,8
4,Both,PatternA,6,0.863,8
4,Both,PatternA,7,1.796,8
4,Both,PatternA,8,2.102,8
4,Both,PatternA,9,1.072,8
4,Both,PatternA,10,2.116,8
4,Both,PatternA,11,1.754,8
4,Both,PatternA,12,2.214,8
4,Both,PatternA,13,2.520,8
4,Both,PatternA,14,1.852,8
4,Both,PatternA,15,2.534,8
