PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Sound,PatternD,1,3.035,7
1,Sound,PatternD,2,1.072,7
1,Sound,PatternD,3,0.793,7
1,Sound,PatternD,4,1.810,7
1,Sound,PatternD,5,2.116,7
1,Sound,PatternD,6,1.658,7
1,Sound,PatternD,7,0.654,7
1,Sound,PatternD,8,0.682,7
1,Sound,PatternD,9,1.420,7
1,Sound,PatternD,10,1.239,7
1,Sound,PatternD,11,1.114,7
1,Sound,PatternD,12,1.643,7
1,Sound,PatternD,13,1.364,7
1,Sound,PatternD,14,1.796,7
1,Sound,PatternD,15,1.128,7
2,Both,PatternA,1,2.367,8
2,Both,PatternA,2,0.975,8
2,Both,PatternA,3,0.835,8
2,Both,PatternA,4,1.448,8
2,Both,PatternA,5,1.560,8
2,Both,PatternA,6,0.681,8
2,Both,PatternA,7,1.184,8
2,Both,PatternA,8,0.584,8
2,Both,PatternA,9,1.044,8
2,Both,PatternA,10,0.794,8
2,Both,PatternA,11,1.699,8
2,Both,PatternA,12,0.808,8
2,Both,PatternA,13,1.058,8
2,Both,PatternA,14,0.668,8
2,Both,PatternA,15,1.657,8
3,None,PatternB,1,3.342,1
3,None,PatternB,2,0.862,1
3,None,PatternB,3,1.184,1
3,None,PatternB,4,3.270,1
3,None,PatternB,5,2.228,1
3,None,PatternB,6,1.559,1
3,None,PatternB,7,1.337,1
3,None,PatternB,8,0.627,1
3,None,PatternB,9,2.159,1
3,None,PatternB,10,6.598,1
3,None,PatternB,11,1.351,1
3,None,PatternB,12,0.460,1
3,None,PatternB,13,3.703,1
3,None,PatternB,14,4.288,1
3,None,PatternB,15,2.520,1
4,Haptics,PatternC,1,1.726,6
4,Haptics,PatternC,2,1.504,6
4,Haptics,PatternC,3,1.030,6
4,Haptics,PatternC,4,0.710,6
4,Haptics,PatternC,5,2.200,6
4,Haptics,PatternC,6,1.518,6
4,Haptics,PatternC,7,0.877,6
4,Haptics,PatternC,8,3.049,6
4,Haptics,PatternC,9,0.557,6
4,Haptics,PatternC,10,1.657,6
4,Haptics,PatternC,11,1.545,6
4,Haptics,PatternC,12,0.571,6
4,Haptics,PatternC,13,1.768,6
4,Haptics,PatternC,14,1.308,6
4,Haptics,PatternC,15,0.654,6
